Annual Report Year,Company Name,CompanyID*,ISIN,Ticker,Index,Sector,Country,Director Name,DirectorID*,Director Role,ED/SD,Direct Compensation,Equity Linked,Total Compensation,Total Wealth
Aug 2018,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Julie Spellman Sweet,11231503251,Regional CEO,DE,1136,5268,6404,5048
Aug 2018,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Pierre Nanterme,52735012382,Chairman/CEO,DE,928,25367,26295,56115
Aug 2018,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Gianfranco Casati,53394012837,Division CEO,DE,1109,5056,6165,13749
Aug 2018,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,David P Rowland,5419793059,CFO,DE,1136,6060,7196,3558
Aug 2018,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Alexander (Sander) M van't Noordende,5495194538,Division Group Chief Executive,DE,1136,5586,6722,18183
Dec 2018,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,Lucia Veiga Moretti,11862764486,Senior VP/Regional President,DE,388,683,1071,2555
Dec 2018,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,Timothy (Tim) P Eckersley,14146587477,Senior VP/Regional President,DE,460,949,1409,6591
Dec 2018,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,Jeffrey (Jeff) N Braun,14583467938,Senior VP/General Counsel/Chief Compliance Officer/Secretary,DE,415,834,1249,2050
Dec 2018,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,David (Dave) D Petratis,3511255900,Chairman/President/CEO,DE,826,5200,6026,30397
Dec 2018,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,Patrick S Shannon,6647946243,Senior VP/CFO,DE,523,1533,2056,9996
Dec 2018,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,A (Bob) Robert Bailey,11858664468,Executive VP/Chief Legal Officer/Secretary,DE,674,1672,2346,5935
Dec 2018,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,Matthew (Matt) M Walsh,4805848662,Executive VP/CFO,DE,1194,6498,7692,6660
Dec 2018,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,Brenton (Brent) L Saunders,4902369527,Chairman/President/CEO,DE,1130,4290,5419,49165
Dec 2018,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,Doctor David Charles Nicholson,94204212562,Executive VP/Chief Research and Development Officer,DE,782,1955,2738,5524
Dec 2018,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,William (Bill) J Meury,94236412583,Executive VP/Chief Commercial Officer,DE,782,2340,3122,8922
Dec 2018,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Michael (Mike) J O'Connor,11814094398,Co-President,DE,998,5760,6758,31645
Dec 2018,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Gregory (Greg) Clarence Case,3796278940,CEO,DE,1304,24611,25915,170039
Dec 2018,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Peter M Lieb,52108311936,Executive VP/General Counsel/Secretary,DE,776,3543,4318,12973
