Annual Report Year,Company Name,CompanyID*,ISIN,Ticker,Index,Sector,Country,Director Name,DirectorID*,Director Role,ED/SD,Direct Compensation,Equity Linked,Total Compensation,Total Wealth
Dec 2002,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Dinesh Chandra Paliwal,13002880,Executive VP,DE,1186,n.a,1186,164
Dec 2002,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Juergen Dormann,164374162,Chairman/President/CEO,DE,1361,368,1728,486
Dec 2002,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Peter Smits,209058759,Executive VP,DE,857,n.a,857,79
Dec 2002,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Peter Robert Voser,336999554,Executive VP/CFO,DE,968,n.a,968,n.a
Aug 2002,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Joe W Forehand Jr,1609338155,Chairman/CEO,DE,2197,n.a,2197,16
Aug 2002,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,William (Bill) D Green,1609458155,Division Group Chief Executive,DE,1579,n.a,1579,n.a
Aug 2002,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Stephan (Steve) A James,1609508155,COO,DE,1853,n.a,1853,n.a
Aug 2002,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Jackson (Jack) L Wilson Jr,1609998165,Corporate Development Officer,DE,1922,n.a,1922,n.a
Aug 2002,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Michael (Mike) G McGrath,3500725763,Chief Risk Officer,DE,1785,n.a,1785,n.a
Dec 2002,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,Doctor Allen Y Chao,1594258011,Chairman/CEO,DE,853,2887,3740,20423
Dec 2002,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,Michael Edward Boxer,2288253009,Senior VP/CFO,DE,387,302,689,3504
Dec 2002,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,Joseph (Joe) C Papa Jr,2288283009,President/COO,DE,476,1921,2397,3043
Dec 2002,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,Doctor Charles D Ebert,2288303009,Senior VP - Research & Development,DE,341,302,643,5215
Dec 2002,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,Donald (Don) A Britt Sr,2288333009,Division Senior VP,DE,338,n.a,338,2733
Dec 2002,ANDVORD TYBRING-GJEDDE ASA (C Tybring-Gjedde prior to 09/2005) (De-listed 11/2006),91208277,,,,Business Services,Norway,Bjørn Henry Maarud,3485985566,President/CEO,DE,239,13,252,53
Dec 2002,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Michael (Mike) D O'Halleran,437868447,President/COO,DE,959,1985,2944,11646
Dec 2002,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Patrick (Pat) G Ryan,455089854,Chairman/CEO,DE,1079,2541,3620,86914
Dec 2002,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Harvey Norman Medvin,615812268,Executive VP/CFO,DE,942,508,1450,20433
Dec 2002,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Raymond I Skilling,616812548,Executive VP/Chief Counsel,DE,885,508,1393,9130
Dec 2002,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,June E Drewry,617582746,Executive VP/Chief Information Officer,DE,709,607,1316,1369
Dec 2002,ASML HOLDING NV (ASM Lithography Holding NV prior to 2001),542011329,"NL0010273215, USN070592100",ASML,"AEX, Euro Stoxx 50, EURONEXT 100, NASDAQ 100, Stoxx Europe 50",Information Technology Hardware,Netherlands,Douglas (Doug) John Dunn,162753914,Chairman/President/CEO,DE,590,n.a,590,n.a
Dec 2002,ASML HOLDING NV (ASM Lithography Holding NV prior to 2001),542011329,"NL0010273215, USN070592100",ASML,"AEX, Euro Stoxx 50, EURONEXT 100, NASDAQ 100, Stoxx Europe 50",Information Technology Hardware,Netherlands,Peter T Wennink,214459182,Executive VP/CFO,DE,300,n.a,300,n.a
Dec 2002,ASML HOLDING NV (ASM Lithography Holding NV prior to 2001),542011329,"NL0010273215, USN070592100",ASML,"AEX, Euro Stoxx 50, EURONEXT 100, NASDAQ 100, Stoxx Europe 50",Information Technology Hardware,Netherlands,Martin A Van den Brink,214469182,Executive VP - Mktg,DE,375,n.a,375,n.a
Dec 2002,ASML HOLDING NV (ASM Lithography Holding NV prior to 2001),542011329,"NL0010273215, USN070592100",ASML,"AEX, Euro Stoxx 50, EURONEXT 100, NASDAQ 100, Stoxx Europe 50",Information Technology Hardware,Netherlands,David (Dave) Paul Chavoustie,214489182,Executive VP - Sales,DE,355,n.a,355,n.a
Dec 2002,ASML HOLDING NV (ASM Lithography Holding NV prior to 2001),542011329,"NL0010273215, USN070592100",ASML,"AEX, Euro Stoxx 50, EURONEXT 100, NASDAQ 100, Stoxx Europe 50",Information Technology Hardware,Netherlands,Stuart Kennedy McIntosh,336189492,Executive VP - Ops,DE,355,n.a,355,n.a
Dec 2002,AUDIODEV AB (De-listed 06/2009),57611426,SE0000708620,AUDV B,,Software & Computer Services,Sweden,Jan Barchan,3508025859,MD,DE,121,n.a,121,21522
Dec 2002,AUDIODEV AB (De-listed 06/2009),57611426,SE0000708620,AUDV B,,Software & Computer Services,Sweden,Gary Fuller,3509455886,Division CEO,DE,121,n.a,121,14
Dec 2002,BERKELEY TECHNOLOGY LTD (London Pacific Group Ltd prior to 06/2003) (De-listed 07/2011),2603412303,"GB0000942184, US5420731011",BEK,,Speciality & Other Finance,Jersey,Arthur Irwin Trueger,88866308,Chairman (Executive),DE,516,n.a,516,1482
Dec 2002,BOSS MEDIA AB (De-listed 04/2008),833811869,SE0000488850,BOSS,,Software & Computer Services,Sweden,Peter Bertilsson,3505095832,President/CEO,DE,123,17,141,17
Dec 2002,BROSTROM AB (Broström Van Ommeren Shipping AB prior to 07/2000) (De-listed 03/2009),88075523,SE0000254880,BRO B,,Diversified Industrials,Sweden,Bo Lennart Simonsson,30191111134,CEO/MD,DE,279,n.a,279,121
Dec 2002,CAPIO AB (De-listed 11/2006),948210710,,,,Health,Sweden,Per Gunnar Båtelson,30035411015,President/CEO,DE,360,60,420,268
Dec 2002,CHUBB LTD (ACE Ltd prior to 01/2016),18581526,CH0044328745,CB,S&P 500,Insurance,Switzerland,Evan G Greenberg,416796384,Vice Chairman,DE,1940,900,2840,4233
Dec 2002,CHUBB LTD (ACE Ltd prior to 01/2016),18581526,CH0044328745,CB,S&P 500,Insurance,Switzerland,Brian Duperreault,4786411544,Chairman/CEO,DE,2103,4813,6916,52174
