Annual Report Year,Company Name,CompanyID*,ISIN,Ticker,Index,Sector,Country,Director Name,DirectorID*,Director Role,ED/SD,Direct Compensation,Equity Linked,Total Compensation,Total Wealth
Aug 2021,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Julie Spellman Sweet,11231503251,CEO,DE,1154,24422,25576,15218
Aug 2021,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Jean-Marc Ollagnier,11500633814,Regional CEO,DE,1098,6483,7581,62629
Aug 2021,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,K C McClure,22079154503,CFO,DE,975,6069,7044,8456
Aug 2021,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Gianfranco Casati,53394012837,Division CEO,DE,1117,4621,5738,10774
Aug 2021,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,David P Rowland,5419793059,Chairman (Executive),DE,2980,13920,16899,4639
Dec 2021,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,Luis J Orbegoso,13644696920,Senior VP,DE,457,3447,3904,12
Dec 2021,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,Timothy (Tim) P Eckersley,14146587477,Senior VP - International,DE,440,2917,3357,10032
Dec 2021,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,Jeffrey (Jeff) N Braun,14583467938,Senior VP/General Counsel/Chief Compliance Officer,DE,392,1364,1755,4449
Dec 2021,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,David (Dave) D Petratis,3511255900,Chairman/President/CEO,DE,879,8129,9008,40995
Dec 2021,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,Patrick S Shannon,6647946243,Senior VP/CFO,DE,514,2766,3280,18337
Dec 2021,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Lisa J Stevens,11243363275,Executive VP/Chief People Officer/Division CEO,DE,791,5321,6112,11233
Dec 2021,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Darren Evan Zeidel,20874371526,Executive VP/General Counsel/Company Secretary,DE,659,3820,4479,12547
Dec 2021,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Gregory (Greg) Clarence Case,3796278940,CEO,DE,1319,36881,38200,313878
Dec 2021,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Christina (Christa) Margaret Davies,5897999173,CFO/Executive VP - Finance,DE,879,19512,20391,108199
Dec 2021,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Eric J Andersen,94276012612,President,DE,879,15122,16001,71410
Dec 2021,APTIV PLC (Delphi Automotive PLC prior to 12/2017),180113210967,JE00B783TY65,APTV,S&P 500,Automobiles & Parts,Republic Of Ireland,Katherine (Kate) Elizabeth Ramundo,11719694236,Senior VP/Chief Legal Officer/Chief Compliance Officer/Secretary,DE,1117,6107,7224,7339
