Annual Report Year,Company Name,CompanyID*,ISIN,Ticker,Index,Sector,Country,Director Name,DirectorID*,Director Role,ED/SD,Direct Compensation,Equity Linked,Total Compensation,Total Wealth
Dec 2015,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Greg Scheu,11084832907,Regional President,DE,1510,763,2273,2837
Dec 2015,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Francis (Frank) Duggan,11260893321,Regional President,DE,1271,771,2043,3696
Dec 2015,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Doctor Peter Terwiesch,12541965523,Division President,DE,1289,610,1899,1116
Dec 2015,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Claudio Facchin,13220096409,Division Global President,DE,1393,712,2105,2154
Dec 2015,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Eric Albert Elzvik,13356506583,Group CFO,DE,1580,741,2321,1929
Dec 2015,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Pekka Tiitinen,13860527164,Division President,DE,1334,712,2047,1715
Dec 2015,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Doctor Ulrich Spiesshofer,52135811958,President/CEO,DE,3836,2868,6703,10091
Dec 2015,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Veli-Matti Reinikkala,52145811965,Regional President,DE,n.a,n.a,n.a,n.a
Dec 2015,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Diane Marie De Milhe De Saint Victor,5390182268,General Counsel/Company Secretary,DE,1853,763,2616,9601
Dec 2015,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Jean-Christophe Deslarzes,5775618021,Chief Human Resource Officer,DE,1723,855,2578,1648
Aug 2015,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Julie Spellman Sweet,11231503251,Regional CEO,DE,1013,3807,4820,8087
Aug 2015,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Pierre Nanterme,52735012382,Chairman/CEO,DE,901,18228,19129,59010
Aug 2015,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Gianfranco Casati,53394012837,Division CEO,DE,906,3966,4872,10256
Aug 2015,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,David P Rowland,5419793059,CFO,DE,1001,4467,5468,6246
Aug 2015,ACCENTURE PLC (Accenture Ltd prior to 09/2009),17713298,IE00B4BNMY34,ACN,"S&P 100, S&P 500",Software & Computer Services,Republic Of Ireland,Alexander (Sander) M van't Noordende,5495194538,Division Group Chief Executive,DE,1013,4202,5215,18476
Dec 2015,ALCATEL-LUCENT SA (Alcatel prior to 12/2006) (De-listed 11/2016),31166920,"FR0000130007, US0139043055",ALU,,Electronic & Electrical Equipment,France,Michel Marie Combes,190957198,President - Sales,DE,1995,2498,4493,9790
Dec 2015,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,Lucia Veiga Moretti,11862764486,Senior VP/Regional President,DE,423,1097,1520,1635
Dec 2015,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,Timothy (Tim) P Eckersley,14146587477,Senior VP/Regional President,DE,384,1072,1456,7020
Dec 2015,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,Chris E Muhlenkamp,14146647477,Senior VP - Global Operations,DE,320,712,1032,2793
Dec 2015,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,David (Dave) D Petratis,3511255900,Chairman/President/CEO,DE,859,5620,6479,17696
Dec 2015,ALLEGION PLC,20894251619,IE00BFRT3W74,ALLE,S&P 500,Business Services,Republic Of Ireland,Patrick S Shannon,6647946243,Senior VP/CFO,DE,416,1494,1910,8214
Dec 2015,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,Robert A Stewart,11062252828,Executive VP/Division President,DE,3399,10246,13645,28774
Dec 2015,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,Maria (Tessa) Teresa Hilado,3761478614,Executive VP/CFO,DE,3289,10053,13342,10839
Dec 2015,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,Brenton (Brent) L Saunders,4902369527,President/CEO,DE,915,33500,34414,158811
Dec 2015,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,Paul M Bisaro,742215214,Chairman (Executive),DE,5261,17339,22600,132037
Dec 2015,ALLERGAN PLC (Actavis PLC prior to 06/2015) (De-listed 05/2020),422557002,IE00BY9D5467,AGN,,Pharmaceuticals and Biotechnology,Republic Of Ireland,William (Bill) J Meury,94236412583,Executive VP/Division President,DE,544,10140,10683,51179
Dec 2015,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Gregory (Greg) Clarence Case,3796278940,President/CEO,DE,1372,45844,47216,133478
Dec 2015,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Kristi A Savacool,4834938930,Division CEO,DE,732,8462,9194,21029
Dec 2015,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Peter M Lieb,52108311936,Executive VP/General Counsel/Secretary,DE,640,3297,3938,16088
Dec 2015,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Christina (Christa) Margaret Davies,5897999173,CFO/Executive VP - Finance,DE,732,16765,17497,54267
Dec 2015,AON PLC (Aon Corp prior to 04/2012),46966801,"GB00B5BT0K07, IE00BLP1HW54",AON,S&P 500,Insurance,Republic Of Ireland,Stephen (Steve) Phillip McGill,709012555,Group President,DE,1006,9378,10384,54611
Dec 2015,APTIV PLC (Delphi Automotive PLC prior to 12/2017),180113210967,JE00B783TY65,APTV,S&P 500,Automobiles & Parts,Republic Of Ireland,Majdi B Abulaban,11892344520,Senior VP/Division President,DE,576,11911,12487,17786
Dec 2015,APTIV PLC (Delphi Automotive PLC prior to 12/2017),180113210967,JE00B783TY65,APTV,S&P 500,Automobiles & Parts,Republic Of Ireland,Jugal K Vijayvargiya,13076616231,Senior VP,DE,454,7770,8223,13798
Dec 2015,APTIV PLC (Delphi Automotive PLC prior to 12/2017),180113210967,JE00B783TY65,APTV,S&P 500,Automobiles & Parts,Republic Of Ireland,Liam David Butterworth,14319217662,Senior VP/Division President,DE,1035,8017,9052,11856
Dec 2015,APTIV PLC (Delphi Automotive PLC prior to 12/2017),180113210967,JE00B783TY65,APTV,S&P 500,Automobiles & Parts,Republic Of Ireland,Kevin P Clark,29958410959,President/CEO,DE,1433,16673,18106,45691
Dec 2015,APTIV PLC (Delphi Automotive PLC prior to 12/2017),180113210967,JE00B783TY65,APTV,S&P 500,Automobiles & Parts,Republic Of Ireland,Mark J Murphy,6658226371,Executive VP/CFO,DE,1084,4455,5540,8441
Dec 2015,BANCO SANTANDER SA (Banco Santander Central Hispano SA prior to 08/2007),693711756,ES0113900J37,"1SANX, BSD2, SAN","BCN GLOBAL 100, Euro Stoxx 50, IBEX 35 , IGBM , Stoxx Europe 50",Banks,Spain,Matías Pedro Rodríguez Inciarte,102636754,Second Vice Chairman (Executive),DE,85,2503,2588,8835
