Annual Report Year,Company Name,CompanyID*,ISIN,Ticker,Index,Sector,Country,Director Name,DirectorID*,Director Role,ED/SD,Direct Compensation,Equity Linked,Total Compensation,Total Wealth
Dec 2012,32RED PLC (De-listed 07/2017),7782037433,GI000A0F56M0,TTR,,Leisure & Hotels,Gibraltar,Edward (Ed) John Ware,40735611212,Chief Executive,DE,284,n.a,284,9145
Dec 2012,32RED PLC (De-listed 07/2017),7782037433,GI000A0F56M0,TTR,,Leisure & Hotels,Gibraltar,Patrick (Pat) Joseph Harrison,40738611212,COO,DE,174,n.a,174,342
Dec 2012,32RED PLC (De-listed 07/2017),7782037433,GI000A0F56M0,TTR,,Leisure & Hotels,Gibraltar,Jonathan (Jon) Edward Hale,5446263650,GFD/Secretary,DE,181,n.a,181,674
Dec 2012,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Doctor Brice Koch,10658021477,Head of Division,DE,1433,1127,2560,4175
Dec 2012,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Greg Scheu,11084832907,Head of Marketing,DE,783,1602,2386,2064
Dec 2012,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Francis (Frank) Duggan,11260893321,Head of Division,DE,1110,1809,2919,4455
Dec 2012,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Tarak Mehta,11396653607,Executive VP/Division President,DE,1261,1783,3044,3607
Dec 2012,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Bernhard Jucker,336979554,Head of Division,DE,1653,2320,3974,4323
Dec 2012,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Michel Roger Demaré,3548356371,CFO,DE,2088,n.a,2088,2755
Dec 2012,ABB LTD,14501792,CH0012221716,"ABB, ABBN","OMX Stockholm 30, SMI , Stoxx Europe 50",Engineering & Machinery,Switzerland,Gary Glachan Steel,408735436,Head of HR,DE,1401,1911,3312,3655
